TRACKINGNUMBER,NAME,PHYSICALADDRESS,PHYSICALCITY,FACTYPE,LATITUDE,LONGITUDE
HCAR-BKKN4C,Chaska Restaurant,5737 176 St,Surrey,Restaurant,49.10660172,-122.73519135
PNEL-8SCPDC,Sushi King House,17617 56 Ave,Surrey,Restaurant,49.10429382,-122.73436737
GEDS-69UQZB,Dragon Village Restaurant,5678 176 St,Surrey,Restaurant,49.10560989,-122.7347641
PNEL-8QKN5F,Canuel Caterers - Stetson Bowl,6050A 176 St,Surrey,Restaurant,49.11225891,-122.73472595
A016586    ,Cloverdale Ice Arena,6090 176 St,Surrey,Restaurant,49.11322403,-122.73436737
SDFO-8GRKRZ,Cloverdale Recreation Centre,6188 176 St,Surrey,Restaurant,49.11519241,-122.73445892
NDAA-8R8V4H,Boston Pizza #020,6486 176 St,Surrey,Restaurant,49.12017059,-122.73455811
GEDS-7BRPSU,The Derby Bar and Grill,17637 1 Ave,Surrey,Restaurant,49.00418472,-122.73369598
GEDS-84XT8W,Jumbo Pizza (Surrey),5780 176A St,Surrey,Restaurant,49.10748291,-122.73348999
GEDS-6WLREY,Tim Hortons #3016,17695 64 Ave,Surrey,Restaurant,49.11896896,-122.73286438
HCAR-B6KN9C,Sugar Patisserie,17767 64 Ave,Surrey,Restaurant,49.11898422,-122.73023987
A016876    ,Lord Tweedsmuir Secondary School Cafeteria,6151 180 St,Surrey,Restaurant,49.11445618,-122.72403717
HCAR-B6KS2K,Salish Secondary Cafeteria,7278 184 St,Surrey,Restaurant,49.13515472,-122.71205139
HCAR-B3ARDF,Wuyang Kitchen,18640 Fraser Hwy,Surrey,Restaurant,49.12546158,-122.70609283
HCAR-BXTNTS,Yotii Frozen Yogurt & Bubble Tea,18696 Fraser Hwy,Surrey,Restaurant,49.12429034,-122.70365737
HCAR-C8VRNZ,Freshii #1546,18775 Fraser Hwy,Surrey,Restaurant,49.12479487,-122.7020931
SDFO-88ESVK,5 Star Catering,5640 188 St,Surrey,Restaurant,49.10544968,-122.70131683
HCAR-BWEPSS,Duke's Fine Ice Cream,6758 188th St,Surrey,Restaurant,49.12544076,-122.70142265
HCAR-BXLQVW,Jiacheng Food Manufacturing,19130 24th Ave,Surrey,Restaurant,49.04566165,-122.69338604000001
SWOD-AJP25M,Pizza Hut #R39801,2711 192 St,Surrey,Restaurant,49.05150986,-122.69181824
HCAR-AUXPC5,Ambros Subway,19188 72 Ave,Surrey,Restaurant,49.13346481,-122.6915741
HCAR-AU7R9T,Miltomates,9613 192 St,Surrey,Restaurant,49.17736053,-122.6907196
HHIN-C49SXW,Garcha Bros Meat Shop,19549 Fraser Hwy,Surrey,Restaurant,49.1148262,-122.68128346
HCAR-CKDNYS,Chatime (Fraser Hwy),19561 Fraser Hwy,Surrey,Restaurant,49.11464462,-122.68093688
A014274    ,Porto Fino Express (Surrey),6350 120 St,Surrey,Restaurant,49.11815643,-122.89006042
SYOG-5M5942,7-Eleven #26365,7986 120 St,Surrey,Restaurant,49.14818954,-122.89022064
HCAR-CG9QYC,Big Bazaar & Big Meat Shop - Meat Section,8112 120th St,Surrey,Restaurant,49.15064817,-122.89032121
A020068    ,A&W #0389,8488 120 St,Surrey,Restaurant,49.15703583,-122.89009857
JDSO-ADSL2J,Miyagi Japanese Restaurant,8556 120 St,Surrey,Restaurant,49.15831757,-122.89006805
SHEN-A3NP96,New Asian Spice,9436 120 St,Surrey,Restaurant,49.174366,-122.88994598
NDAA-AN9NET,Wendy's #4,9412 120 St,Surrey,Restaurant,49.1740036,-122.88991547
GEDS-6ZBMVJ,Mahek Restaurant & Lounge,9470 120 St,Surrey,Restaurant,49.17490387,-122.88991547
GEDS-6XLUHV,Mehfil India Restaurant & Sweets,9570 120 St,Surrey,Restaurant,49.17657852,-122.88986206
HCAR-CFMQWT,Quesada Burritos & Tacos #192,10355 120th St,Surrey,Restaurant,49.19082552,-122.8903162
HCAR-C38QXU,Freshslice Pizza (Scott Rd),10385 120th St,Surrey,Restaurant,49.19157709,-122.89069274
ACAK-8TMV2A,Mama Mia Gelato / Noor Mahal,7130 120 St,Surrey,Restaurant,49.13256454,-122.88946533
HCAR-BVYNL6,Pizza 80,12030 80th Ave,Surrey,Restaurant,49.14840143,-122.88916081
GEDS-7QXLV4,Popular Fish House,9532 120 St,Surrey,Restaurant,49.17628479,-122.88986206
HCAR-BTGMWR,Sofi's Mediterranean Grill,9540 120th St,Surrey,Restaurant,49.17633623,-122.88916896
GEDS-67NPGB,Subway #7665,12080 Nordel Way,Surrey,Restaurant,49.16109848,-122.88860321
HCAR-C6ET6F,Tayebah Halal Meat & Groceries - Meat Dept,12074 96th Ave,Surrey,Restaurant,49.17712373,-122.88815558
MARO-AWVP8R,Oh So Sweet Sugar Boutique,12101 72 Ave,Surrey,Restaurant,49.1350174,-122.88764191
SHEN-AKHSUG,Boston Pizza #18 - Nordel Way,12060 Nordel Way,Surrey,Restaurant,49.16171646,-122.88780212
HCAR-BCZV29,Cotto Al Mare,2728 O'Hara Lane,Surrey,Restaurant,49.05250931,-122.88487244
A013615    ,Alexandra Neighbourhood House (Main Dining Hall),2916 McBride Ave,Surrey,Restaurant,49.05540466,-122.8850708
HCAR-BP4U3K,Natalino's Pizza,12211 Beecher St,Surrey,Restaurant,49.0525937,-122.8836791
HCAR-BDSNEP,Crescent Coffee House,12219 Beecher St,Surrey,Restaurant,49.05263138,-122.88327026
PGOO-665TGZ,Lakwon Rice Bakery,12520 Old Yale Rd,Surrey,Restaurant,49.197052,-122.8753891
JDSO-AD4MWR,A & W #0755,8811 126 St,Surrey,Restaurant,49.16337585,-122.87378693
GEDS-6FCQBD,Mayuri Indian Cuisine,12677 80 Ave,Surrey,Restaurant,49.14843369,-122.87145996
ACAK-8VHNXU,Cafe Madras,8381 128 St,Surrey,Restaurant,49.15512466,-122.86935425
MARO-B2KQU3,Bengal Grill Restaurant,7750 128 St,Surrey,Restaurant,49.14358139,-122.86765289
HCAR-BG7QZ3,777 Pizza & Donair,7750 128 St,Surrey,Restaurant,49.14358139,-122.86765289
SYOG-5M59W3,Shri Durga Mandir,7750 128 St,Surrey,Restaurant,49.14358139,-122.86765289
SDFO-8MXMMA,Calgary Sweets,7928 128 St,Surrey,Restaurant,49.14675522,-122.86766815
HCAR-CCYLCR,Flavogrill Restaurant,8028 128th St,Surrey,Restaurant,49.14878384,-122.8679319
HCAR-CDQR8Q,Pick 'N' Pay Supermarket (128th St),8120 128th St,Surrey,Restaurant,49.15044496,-122.86793909
HHIN-BCEQ7Y,Punjabi Cuisine Parlour,8166 128th St,Surrey,Restaurant,49.15124439,-122.86794208
GEDS-7NXTJY,Piquant Gourmet Foods,1627 128 St,Surrey,Restaurant,49.03172302,-122.86773682
JCOE-67H9B8,Starbucks Coffee #142,1658 128 St,Surrey,Restaurant,49.03233719,-122.86727142
SHEN-BCSQS2,Le Jardin Restaurant,1677 128 St,Surrey,Restaurant,49.03285599,-122.86779785
