TRACKINGNUMBER,NAME,CITY,ADDRESS,LONGITUDE,LATITUDE,UTMX,UTMY
GEDS-7BLPWS,Bucky's West Coast Pizzeria,Surrey,15562 24 Ave,-122.79137421,49.04542542,515245.53052462934,5432526.491656163
HCAR-BXLMXG,Veerji Fish 'N' Grill (Fraser Hwy),Surrey,15551 Fraser Hwy,-122.79125861,49.16241879,515218.1611241561,5445532.3357851105
HCAR-BLGNQE,Michael's Artisan Bakery Cafe,Surrey,15578 24th Ave,-122.79075466,49.04542303,515290.8054423065,5432526.350656371
A018410    ,Fleetwood Park Fastpitch Concession,Surrey,15802 80 Ave,-122.78314972,49.14807892,515813.8985090262,5443939.860161378
SWOD-9YXP6Z,Davids Tea (Morgan Crossing),Surrey,15755 Croydon Dr,-122.7829361,49.04581451,515862.02937889285,5432571.475224546
SPLH-9KHTLN,My Shanti,Surrey,15869 Croydon Dr,-122.7824707,49.04600906,515895.97663012805,5432593.199987654
SHEN-9SGNXL,Fleetwood Sushi Restaurant,Surrey,15930 Fraser Hwy,-122.78188324,49.15706635,515903.3798582136,5444939.240788329
GEDS-6E3SXC,Tobiko Sushi,Surrey,15951 Fraser Hwy,-122.78025055,49.15815735,516022.07094013545,5445060.869399076
SDFO-8G4L6D,Diamond Sweets and Restaurant,Surrey,15933 Fraser Hwy,-122.78079224,49.15909576,515982.2740613414,5445165.076303193
SDFO-8ESVZE,D-Plus Pizza (Fraser Hwy),Surrey,15933 Fraser Hwy,-122.78079224,49.15909576,515982.2740613414,5445165.076303193
SWOD-AQFQD7,Scott's 96 Pizza,Surrey,15932 96 Ave,-122.78082275,49.17674637,515974.3702463743,5447127.259726254
HCAR-C9WM64,Donair Affair (Fraser Hwy),Surrey,15988 Fraser Hwy,-122.77953862,49.15724844,516074.2722919738,5444959.978374354
SPLH-9KKLS7,Salty's Fish And Chips,Surrey,15953 Fraser Hwy,-122.78014374,49.1587944,516029.6529330569,5445131.711705276
GEDS-77ZUHF,Starbucks Coffee #4811,Surrey,15976 108 Ave,-122.77942657,49.19859314,516069.05199283664,5449556.233740124
HCAR-BM4PRH,Papa John's Pizza (South Surrey),Surrey,2245 160th St,-122.77955252,49.04289123,516110.2299176189,5432247.218849282
SPLH-9KKTA9,Subway #60205,Surrey,2525 160 St,-122.77952576,49.04756927,516110.6742272597,5432767.263597613
SHEN-9ZWSSQ,Bakeshop and Cafe,Surrey,16011 Fraser Hwy,-122.77842712,49.15740967,516155.2614458399,5444978.138517631
SPLH-9P8Q6K,Yoko Sushi & Noodle House,Surrey,16013 Fraser Hwy,-122.77831268,49.15736771,516163.6191116662,5444973.498318009
A018926    ,Helping Hands Children's Centre Food Service,Surrey,9012 160 St,-122.77852631,49.16698456,516144.91646031896,5446042.541368426
GEDS-82XN83,Parkland Fellowship,Surrey,9574 160 St,-122.77856445,49.17636871,516139.08536401874,5447085.754724212
SWOD-A53NQT,Red Shiso Japanese Restaurant,Surrey,10833 160 St,-122.77890778,49.19945908,516106.5652728835,5449652.60968217
SPLH-AV62J6,Popeye's Supplements (Surrey),Surrey,16030 24 Ave,-122.77797699,49.04521942,516224.61163411016,5432506.370149861
HCAR-ATMPPQ,Freshii (24th Ave),Surrey,16030 24 Ave,-122.77797699,49.04521942,516224.61163411016,5432506.370149861
SHEN-B4GLZ6,Sage Dining Services,Surrey,2656 160 St,-122.7786026,49.0500679,516177.321444923,5433045.222967732
SPLH-9P8MJG,CEFA - Fleetwood,Surrey,16050 Fraser Hwy,-122.77745056,49.15664673,516226.7132944817,5444893.532638267
HCAR-BWYRNG,Popeyes Louisiana Kitchen (108th Ave),Surrey,16033 108th Ave,-122.77775438,49.1989669,516190.75104678294,5449598.140612776
